6-EBAP-9EN-SB-MT,MEDIA TENSION,P,5-EBAP-9EN-SB
7-EBAP-9EN-SB-MT-TRF,BANCO DE TRANSFORMADORES SISTEMA DE TRANSFORMACION PRINCIPAL,VFP,6-EBAP-9EN-SB-MT
6-EBAP-9EN-SB-SP,SISTEMA DE PROTECCION,P,5-EBAP-9EN-SB
7-EBAP-9EN-SB-SP-PRT,PUESTA A TIERRA SISTEMA DE PROTECCION,VFP,6-EBAP-9EN-SB-SP
6-EBAP-9EN-SB-TM,TELEMETRIA,P,5-EBAP-9EN-SB
7-EBAP-9EN-SB-TM-RD1,RADIO TRIO SCADA RADIO 1,VFP,6-EBAP-9EN-SB-TM
7-EBAP-9EN-SB-TM-RD2,RADIO MODEM MODBUS SCADA RADIO 2,VFP,6-EBAP-9EN-SB-TM
7-EBAP-9EN-SB-TM-UDC,SISTEMA DE RESPALDO DE ENERGIA SCADA UPS DC,VFP,6-EBAP-9EN-SB-TM
4-EBAP-ANA,ESTACION DE BOMBEO AAPP SANTA ANA,P,-
5-EBAP-ANA-IF,INFRAESTRUCTURA,P,4-EBAP-ANA
6-EBAP-ANA-IF-AQ,ACHIQUE,P,5-EBAP-ANA-IF
7-EBAP-ANA-IF-AQ-GB1,BOMBA DE ACHIQUE GRUPO 1,VFP,6-EBAP-ANA-IF-AQ
6-EBAP-ANA-IF-ES,ESTRUCTURA,P,5-EBAP-ANA-IF
7-EBAP-ANA-IF-ES-INF,None ESTRUCTURAS DE LA ESTACION,VFP,6-EBAP-ANA-IF-ES
5-EBAP-ANA-SB,SISTEMA DE BOMBEO,P,4-EBAP-ANA
6-EBAP-ANA-SB-BM,BOMBEO,P,5-EBAP-ANA-SB
7-EBAP-ANA-SB-BM-GB1,TX DE PRESION DESCARGA GRUPO 1,VFP,6-EBAP-ANA-SB-BM
7-EBAP-ANA-SB-BM-GB2,MOTOR DE BOMBA 2 GRUPO 2,VFP,6-EBAP-ANA-SB-BM
6-EBAP-ANA-SB-DI,SISTEMA DE DISTRIBUCION,P,5-EBAP-ANA-SB
